cluster,n,m,modularity,cpm_score,connectivity,ktruss_vals
48361,51,65,7.061285925580264e-07,52.25,1.0,3.0
78565,39,42,4.5626806373965385e-07,34.59,1.0,2.0
165210,25,26,2.824516371613845e-07,23.0,1.0,2.0
110745,32,59,6.409477804446221e-07,54.04,1.0,2.0
264091,14,14,1.5208946111922268e-07,13.09,1.0,3.0
116734,31,50,5.431763051462044e-07,45.35,1.0,2.0
245419,17,17,1.8467995436056734e-07,15.64,1.0,2.0
116686,31,32,3.476323318779386e-07,27.35,1.0,2.0
40444,56,92,9.994422314016642e-07,76.6,1.0,4.0
78585,39,45,4.888587337991245e-07,37.59,1.0,3.0
104885,33,37,4.019501423853272e-07,31.72,1.0,2.0
136936,28,31,3.367694242130063e-07,27.22,1.0,3.0
245144,17,17,1.8467995436056734e-07,15.64,1.0,2.0
90488,36,36,3.9108653907250987e-07,29.7,1.0,2.0
264073,14,24,2.6072409486750017e-07,23.09,2.0,2.0
206392,21,21,2.2813335302453199e-07,18.9,1.0,3.0
85731,37,45,4.88858055352135e-07,38.34,1.0,3.0
94873,35,36,3.910863660309098e-07,30.05,1.0,3.0
185058,23,23,2.498611625666368e-07,20.47,1.0,2.0
3167,121,238,2.5855068951192734e-06,165.39999999999998,2.0,2.0
81990,38,44,4.779946514575913e-07,36.97,1.0,3.0
20363,83,114,1.2384381630613033e-06,79.97,1.0,3.0
71412,41,45,4.888566501304254e-07,36.8,1.0,3.0
146569,27,27,2.9331476292069145e-07,23.49,1.0,3.0
206394,21,21,2.28133550111981e-07,18.9,1.0,2.0
94523,35,40,4.345384405504567e-07,34.05,1.0,3.0
184921,23,34,3.693592046645785e-07,31.47,1.0,3.0
46668,52,54,5.866291252935973e-07,40.74,1.0,3.0
66037,43,48,5.214492067711462e-07,38.97,1.0,2.0
206704,21,24,2.607240053815372e-07,21.9,1.0,3.0
40765,56,68,7.387112976881963e-07,52.6,1.0,3.0
184695,23,25,2.715860457436774e-07,22.47,1.0,3.0
94725,35,37,4.0194999678254865e-07,31.05,1.0,2.0
145433,27,33,3.58491591123744e-07,29.49,1.0,2.0
60678,45,64,6.952559589815358e-07,54.1,1.0,2.0
174778,24,26,2.8245002886289167e-07,23.24,1.0,2.0
252195,16,16,1.738133205921889e-07,14.8,1.0,2.0
94182,35,40,4.3453845946259063e-07,34.05,1.0,3.0
31905,64,82,8.908068612308227e-07,61.84,1.0,2.0
137459,28,30,3.259019171229976e-07,26.22,1.0,3.0
205206,21,22,2.389967267363721e-07,19.9,1.0,2.0
155308,26,26,2.8245147904886365e-07,22.75,1.0,2.0
174503,24,25,2.7158699742822155e-07,22.24,1.0,3.0
137965,28,29,3.150420976236639e-07,25.22,1.0,2.0
184962,23,25,2.7158819172505503e-07,22.47,1.0,3.0
155194,26,26,2.824466081564791e-07,22.75,1.0,2.0
63471,44,47,5.105857334829378e-07,37.54,1.0,2.0
216670,20,21,2.2813312067967258e-07,19.1,1.0,2.0
123101,30,31,3.367685711902031e-07,26.65,1.0,2.0
110768,32,55,5.974924796212377e-07,50.04,1.0,2.0
174715,24,32,3.4762009782206307e-07,29.24,1.0,3.0
110506,32,41,4.454043801461555e-07,36.04,1.0,2.0
