n,count
3,1
7,1
9,27790
10,2324
11,2146
12,1928
13,1755
14,1626
15,1503
16,1330
17,1191
18,1151
19,1116
20,964
21,921
22,834
23,798
24,805
25,701
26,661
27,604
28,562
29,506
30,547
31,484
32,427
33,411
34,411
35,383
36,366
37,337
38,328
39,300
40,273
41,243
42,272
43,221
44,214
45,216
46,244
47,204
48,194
49,196
50,167
51,191
52,182
53,144
54,154
55,138
56,142
57,116
58,119
59,99
60,120
61,93
62,111
63,96
64,97
65,105
66,87
67,79
68,77
69,70
70,87
71,56
72,60
73,65
74,72
75,53
76,67
77,63
78,56
79,48
80,45
81,44
82,48
83,46
84,36
85,42
86,41
87,49
88,38
89,49
90,42
91,33
92,36
93,32
94,32
95,25
96,43
97,33
98,36
99,1011
100,9
101,14
102,7
103,15
104,11
105,11
106,14
107,4
108,8
109,13
110,5
111,4
112,9
113,9
114,17
115,6
116,6
117,13
118,8
119,11
120,10
121,8
122,8
123,12
124,9
125,11
126,9
127,8
128,6
129,7
130,7
131,11
132,5
133,12
134,6
135,6
136,5
137,8
138,2
139,7
140,11
141,4
142,8
143,3
144,3
145,3
146,3
147,9
148,4
149,7
150,7
151,2
152,7
153,6
154,4
155,5
156,5
157,1
158,6
159,6
160,3
161,4
162,7
163,5
165,4
166,8
167,4
168,6
169,5
170,5
171,7
172,5
173,5
174,4
175,6
176,6
177,5
178,5
179,2
180,4
181,7
182,4
183,1
184,7
185,6
186,5
187,4
188,7
189,7
190,2
191,5
192,3
193,5
194,7
195,7
196,4
197,5
198,2
199,2
200,4
201,5
202,6
203,1
204,2
205,8
206,1
207,5
208,4
209,4
210,6
211,8
212,5
213,10
214,10
215,13
216,11
217,10
218,8
219,13
220,10
221,10
222,9
223,8
224,6
225,14
226,8
227,6
228,6
229,12
230,7
231,7
232,7
233,5
234,6
235,9
236,6
237,7
238,5
239,8
240,2
241,5
242,5
243,6
244,3
245,1
246,5
247,5
248,2
249,3
250,4
251,2
252,3
253,4
254,1
255,1
256,7
257,3
258,4
259,8
260,1
261,2
262,6
263,2
264,1
265,2
266,2
267,4
268,2
269,5
270,4
271,3
272,2
273,1
274,6
275,2
276,4
277,5
278,3
279,1
280,1
281,1
282,1
283,2
284,1
285,1
286,3
287,2
288,2
289,4
290,6
291,4
292,6
293,3
294,5
295,1
296,4
297,13
298,1
299,5
300,11
301,6
302,5
303,6
304,4
305,4
306,5
307,2
308,1
309,4
310,1
311,4
312,4
313,6
314,6
315,7
316,4
317,7
318,6
319,11
320,13
321,11
322,4
323,7
324,8
325,8
326,6
327,6
328,4
329,6
330,5
331,1
332,7
333,3
334,4
335,4
336,1
337,4
338,3
339,1
340,2
341,6
342,2
343,3
344,4
345,2
346,2
347,1
348,2
349,2
350,2
351,5
352,2
353,3
354,3
355,2
356,3
357,1
359,3
360,2
361,1
362,4
363,3
364,2
365,1
366,1
367,2
368,1
370,2
371,1
372,2
373,3
374,4
375,3
376,3
378,1
379,1
380,2
382,2
384,1
386,1
388,1
389,3
390,4
391,1
392,4
394,2
395,1
396,2
397,1
398,7
399,3
400,16
401,4
402,5
403,5
404,3
405,3
406,3
408,4
410,2
411,1
412,3
413,5
414,1
415,4
416,8
417,7
418,6
419,8
420,4
421,3
422,1
423,3
424,3
425,2
426,6
427,6
428,1
429,7
430,4
431,3
432,4
433,3
434,1
435,1
436,1
437,3
438,1
439,1
440,1
441,5
442,1
443,4
444,3
446,3
447,3
448,1
449,2
450,1
452,2
453,2
454,2
455,1
456,3
457,3
458,1
459,1
460,3
461,3
462,1
463,1
464,4
465,2
467,1
469,1
470,3
471,1
472,1
473,2
475,1
477,2
478,2
479,3
480,2
482,1
485,3
486,1
487,3
488,2
489,2
490,1
491,1
492,3
493,2
494,2
496,3
497,1
498,1
499,1
500,12
501,1
502,1
503,3
504,3
505,4
506,4
507,3
508,3
509,1
510,2
511,1
512,3
513,4
514,4
515,2
516,2
517,4
518,2
519,4
520,3
521,4
522,7
523,3
524,8
525,4
526,1
527,2
528,1
529,2
530,1
531,3
532,2
533,3
534,3
535,1
536,2
537,2
538,1
539,4
542,2
543,1
544,1
545,2
546,3
547,1
548,2
550,1
551,1
552,1
553,2
554,1
556,1
557,1
558,1
559,1
560,2
563,3
564,2
565,4
566,2
568,1
569,1
572,1
573,1
574,1
575,1
577,2
579,2
580,1
581,1
582,1
585,1
586,1
587,1
589,2
590,2
591,1
592,3
593,3
595,2
598,1
599,1
600,4
601,2
602,1
604,1
606,4
608,2
609,2
610,1
611,2
612,2
613,2
614,1
615,2
616,1
617,1
618,4
619,6
620,2
622,5
623,4
624,2
625,3
626,3
628,2
630,1
631,1
632,1
633,2
634,3
636,1
638,1
639,1
640,4
642,1
643,1
645,1
646,1
648,4
652,1
654,1
655,1
656,2
658,1
659,2
660,1
661,2
663,2
664,1
665,2
666,2
668,1
670,1
672,2
673,1
674,1
675,1
676,1
680,2
684,1
685,2
686,2
687,1
690,1
691,4
698,1
699,1
701,2
702,1
705,1
707,1
708,1
711,2
713,1
714,1
715,2
716,2
717,3
718,1
719,3
720,2
721,2
723,2
724,3
725,2
726,2
727,2
728,4
729,1
730,2
731,1
732,1
733,1
734,1
736,1
737,1
738,1
743,2
745,1
746,1
749,1
750,1
753,1
755,1
756,1
757,1
766,1
768,2
771,2
773,1
776,2
788,1
789,2
795,2
797,1
798,1
800,2
801,2
803,1
805,1
807,3
808,1
809,2
810,1
812,1
813,1
814,1
815,1
817,1
818,2
819,1
820,2
821,1
822,1
825,1
826,1
827,1
829,1
832,1
835,1
841,1
842,2
843,1
846,1
849,1
850,2
854,1
858,1
868,1
871,1
878,1
880,1
883,1
888,1
892,1
895,1
900,1
904,1
905,1
907,3
911,1
913,2
914,1
915,1
917,3
919,1
921,2
922,1
924,3
925,1
926,1
927,1
928,1
930,1
932,1
936,1
941,1
944,1
945,2
949,1
950,1
952,1
959,1
972,2
978,2
980,1
984,1
989,1
993,1
994,1
996,1
999,1
1000,2
1001,1
1002,2
1004,1
1006,1
1007,2
1014,1
1016,1
1017,1
1021,1
1022,1
1025,2
1029,1
1030,1
1031,1
1032,1
1035,1
1042,1
1049,1
1056,1
1057,1
1065,1
1067,1
1070,2
1083,1
1084,1
1085,1
1088,1
1092,1
1096,1
1100,2
1105,2
1106,1
1109,1
1112,1
1116,1
1121,1
1123,1
1130,1
1135,1
1136,1
1138,1
1139,1
1140,1
1141,1
1153,1
1158,1
1164,2
1170,1
1175,1
1191,1
1192,1
1197,1
1202,1
1208,1
1213,1
1217,1
1220,1
1225,1
1229,1
1233,2
1241,1
1244,1
1269,1
1273,1
1275,1
1276,1
1307,2
1318,1
1321,1
1325,1
1353,1
1385,2
1389,1
1391,1
1402,1
1416,1
1434,1
1453,1
1488,1
1513,1
1524,1
1525,1
1527,2
1542,1
1545,1
1559,1
1593,1
1600,1
1615,1
1626,1
1722,1
1793,1
1847,1
1933,1
2046,1
2153,1
2192,1
2216,1
2380,1
3236,1
